name,length,starring,year,notes,recorded_bought,inserted,updated
All of Me,,,,,0,5/13/2010 22:30,5/16/2010 19:23
all that heaven allows,,R.Hudson,1955,,0,5/13/2010 22:30,12/30/2010 19:31
All the Right Moves,,Tom Cruise,,,0,5/13/2010 22:30,6/1/2012 10:59
Almost Famous,2:05,"Kate Hudson,Billy Crudup",2000,,0,5/13/2010 22:30,11/27/2012 21:24
alvin and the chipminks,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Always & Forever,1:26,"Dean McDermott, Rena Sofer, Barbara Eden",2009,,0,5/13/2010 22:30,1/31/2013 19:19
Amazing Grace & Chuck,1:55,"A.English,J.Kuehlke,G.Peck,J.L.Curtis",1987,Montana,0,5/13/2010 22:30,12/30/2010 20:34
ambulance girl,,,,,0,5/13/2010 22:30,5/16/2010 19:23
America,,,,,0,5/13/2010 22:30,5/16/2010 19:23
american dreamz,,,,,0,5/13/2010 22:30,5/16/2010 19:23
American Flyer,,,,,0,5/13/2010 22:30,5/16/2010 19:23
"american gangster, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
American Gigolo,,Richard Gere,,,0,5/13/2010 22:30,2/6/2013 22:07
american Grafitti,,"Paul LeMat,Ron Howard,C.Wms.",1973,Modesto,0,5/13/2010 22:30,3/27/2013 15:26
"american grafitti, more",,,,,0,5/13/2010 22:30,5/16/2010 19:23
american pie,,,,,0,5/13/2010 22:30,5/16/2010 19:23
"americanization of emily, the",,,,England,0,5/13/2010 22:30,12/30/2010 23:07
Amos & Andrew,,"Nic Cage, Samuel L.Jackson",,,0,5/13/2010 22:30,6/1/2012 11:00
an affair to remember,2:00,"C.Grant,D.Kerr,K,Nesbitt",1955,"N.Y.,Fr.Riviera",0,5/13/2010 22:30,12/30/2010 20:36
An American Girl : Felicity:,,,,,0,5/13/2010 22:30,2/17/2011 16:54
An American Girl: Chrissa stands strong,,,,,0,5/13/2010 22:30,1/2/2011 22:17
an american girl: Kit Kittredge,,,,,0,5/13/2010 22:30,1/1/2011 2:04
an american girl: Samantha,,,,,0,5/13/2010 22:30,1/2/2011 21:44
an american in paris,,"G.Kelly,L.Caron",,Paris,0,5/13/2010 22:30,12/30/2010 20:37
an inconvienient truth,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Analyze That,,"Billy Chrystal, Robt.DeNiro",,,0,5/13/2010 22:30,6/1/2012 11:01
Ancient Aliens,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Angel Eyes,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Angels & Demons,,T.Hanks,,Italy,0,5/13/2010 22:30,12/30/2010 20:37
Angel's Alley,,,,Bowery Boys,0,5/13/2010 22:30,12/30/2010 17:34
angels in the outfield,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Another Cinderella,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Another Thin Man,1:43,"Wm.Powell, Myrna Loy",1939,Thin Man,0,5/13/2010 22:30,5/31/2012 19:35
Any Given Sunday,,"Pacino,J.Foxx",,,0,5/13/2010 22:30,12/30/2010 20:38
Apollo 13,,"Tom Hanks, Kevin Bacon",,,0,5/13/2010 22:30,6/1/2012 11:01
"Apple Dumpling Gang Rides Again,The",,Tim Conway,,,0,5/13/2010 22:30,6/1/2012 11:02
"apple dumpling gang, the",,"Tim Conway, Don knotts",,,0,5/13/2010 22:30,6/1/2012 11:02
arabesque,,,,,0,5/13/2010 22:30,5/16/2010 19:23
are we done yet?,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Aresenic and Old Lace,,Cary Grant,,,0,5/13/2010 22:30,6/1/2012 11:03
